,Question_Links,Views,Upvotes,Spaces,Questions,Answers
10,https://www.quora.com/Can-video-analytics-and-machine-learning-solutions-help-achieve-zero-defects-in-manufacturing-Why/answer/Kamal-Raj-17,56,1,www.quora.com,Can-video-analytics-and-machine-learning-solutions-help-achieve-zero-defects-in-manufacturing-Why,"There are algorithms used with Open CV library to analyse the videos, after converting the frames as pictures. There is really no need for Machine learning. You can program the camera module for example, a surface scratch defect. The module will work flawlessly, and detect only some kind of scratches.
If some new defect arises, then the whole process needs to done and camera module reprogrammed. This can be avoided.
Where Machine learning can excel is in applications where we humans know some thing is defective, but programming it is cumbersome and repetitive. Machine Learning, literally automates such repetetive programming. The variant is neural network called Convulutional NN that excel at learnin such defects and successfully classify the new defects.
There are many deep NN that can differentiate, dogs from cats and even differentiate dog breeds. So the defects are like that only. The more training samples you have better the training and validation accuracy will be. The ML solutions can speed up the basic classification, and instead of using more manpower, one operator can do the final checkin of the defect.
I have not even scratched the surface of ML. It is just a no theory intro of ML.
Explore more and you will find a lot of research is going on in this area. Have a great time."
11,https://www.quora.com/Can-I-change-my-profile-into-data-science-after-having-spent-13-years-in-software-testing/answer/Kamal-Raj-17,47,2,www.quora.com,Can-I-change-my-profile-into-data-science-after-having-spent-13-years-in-software-testing,"Data Science can be done by anyone, because it simply a type of programming to solve problems using data. When you are from testing background you will catch many of the libraries and algorithms very easily. So, Go ahead learn DS. But learn on your own, with intention to skill up. Not to change career.
Why not change carrier? Let me convince you that, your own domain has more opportunity, if you look.
You can learn DS and then look at your domain problems. The more you look in any domain there are areas where data is generated. Say, you want to know how many tests you are currently running. That depends on the number of projects, resources under you, and their profeciency. You must have a dashboard showing that.
There are just three dimensions. What can you do to increase the speed of your tests? Hmm, that needs analysis. You might find that relationship between profeciency and speed is less, but with increased number of resources the speed is more. How you prove this? Data Science.
There could be countless locations where inefficiencies will be there in your organisation. You can collect data, analyse and show these areas. Once you do that, you will realise that you are able to lead better, convince people easily and get things done fast. No wonder you will start liking what you are doing. This happens not just at work, but at home too.
Learn data science and use the skill to contribute. If good opportunity comes use it. Shifting job alone cannot be a good motivator. Have a wonderful career."
12,https://www.quora.com/Im-a-B-Tech-mechanical-65-8-in-2018-I-want-to-go-in-the-software-industry-Should-I-go-for-CDAC-or-learn-software-skills-self-and-apply-for-an-internship/answer/Kamal-Raj-17,55,–,www.quora.com,Im-a-B-Tech-mechanical-65-8-in-2018-I-want-to-go-in-the-software-industry-Should-I-go-for-CDAC-or-learn-software-skills-self-and-apply-for-an-internship,"65.8% is a good score, it shows that you can sit and learn by yourself without.
Here is what you can do…. You have to complete 4 books and master the way of programming, documenting, testing and deploying. Once you complete and get confident, please share it with your friends or family members so they too can learn programming. Programming is an important skill in this complicated world. Lets dive in…
>> You will have to learn about to Jupyter notebooks, Regular Expressions and get introduced to SQL, HTML etc in coming steps. So the learning curve will be steep. Like KTM Duke / Yamaha RX 100 accelerating…
>> Test driven development is same as In-process quality testing in Mechanical Industry. (I am from manufacturing and mechanical background) If you remember the assembly lines where operators can stop the lines if there is defect. Software industry uses that idea efficiently and built lot of libraries around it. You will catch it very easily.
4. Lets level up a bit. Search for books that provide programming challenges that are more about problem solving through coding. Here too select a book which introduces you to problems that are easy to start, and slowly builds up challenge.
5. Solve the problem, Code the challenges, and then upload the code file to GitHub.
The above steps can take anywhere between 30 days to 90 days depending on your speed of understanding, problem solving and typing speed. I am considering that you are interested in sitting with the laptop all day long (14 to 16 hours). If you are working, then give additional 3 months time to master these steps.
These steps helps you to
Once you equip with these skills, you will understand many things that happen in the Software Industry. Also, you can confidently choose any software project you want, and approach it with confidence, and clarity that you will complete it.
Yeah, getting the job interview might be still tough, but after learning the above skills, you might even decide to go freelancing, or approach the job hunting differently. All the very best."
13,https://www.quora.com/How-do-I-overcome-the-language-barrier-in-a-job/answer/Kamal-Raj-17,6,–,www.quora.com,How-do-I-overcome-the-language-barrier-in-a-job,"(I am assuming that you know the language your colleagues use. Even if you don't know, the below answer greatly reduces the barrier)
Listen.
Listen without thinking to answer.
Listen with intention to clarify.
Listen with your eyes.
Finally ask for clarifying question before you answer.
When possible be kind to the other person and ask them whether they have any questions after you finish answering.
(Language barriers are reduced not by learning new languages to speak, but to listen to new friends, colleagues)
If you love talking, then best is learn programming languages and speak logically with computers and create software.
Not only your life but the entire world will be a better place."
14,https://www.quora.com/Why-is-machine-learning-useful-for-making-predictions-but-not-for-finding-causal-relationships/answer/Kamal-Raj-17,14,1,www.quora.com,Why-is-machine-learning-useful-for-making-predictions-but-not-for-finding-causal-relationships,"ML doesn't have all the data necessary to prove a causal relationship. ML can work only on data that is fed. It cannot create new data or experiment. Some flavours of Reinforced learning can do experiments and learn, it is still not methodical experimentation. Allow me to elaborate.
Causal relationships are like laws of this universe. Starting from newtons laws of motion, Laws of thermodynamics, Energy conservation laws.
We have an age old wisdom that is,
Correlation does not imply Causation.
To imply Causation, lot of parallel study in unrelated feilds will be required. The physical experiments, the theory behind the causation needs to be verified mathematically. Many such discoveries yeild noble prize. We should also remember the creativity and meticulous work of scientists in finding such causation. Even then, many findings in the past were just correlation.
Machine Learning is purely mathematical. The universe it works is very different from our reality. The number of dimensions in some ML problems can go in hundreds of dimensions. But they are conceptual dimensions. Not something you can physically see or feel.
With help of libraries written in programming languages that can handle huge data, the theory behind the Machine learning is abstracted. Thanks to object oriented programming, it is much easier to abstract the machinery. If not today ML will be in obscurity.
With machine learning a new law or causation cannot be discovered, but only learned. The causation will be learnt using equations, variables and their outputs. They cannot be proved using more mathematics. But the outputs will have sufficient accuracy so we can make decision or influence someone."
15,https://www.quora.com/Which-skill-do-I-have-to-learn-first-and-why-artificial-intelligence-or-data-science-I-dont-have-any-other-knowledge-about-them-even-I-am-also-week-in-programming/answer/Kamal-Raj-17,18,–,www.quora.com,Which-skill-do-I-have-to-learn-first-and-why-artificial-intelligence-or-data-science-I-dont-have-any-other-knowledge-about-them-even-I-am-also-week-in-programming,"AI and Data Science is one of the ways of solving problems in this world. Before there was Statistics. Statistics is very misleading when the data is not sufficient. You have countless books explaining how statistics can be misleading. AI and DS leverages on Statistics, and solves problems and does it so well. But do we need it??? You will find out, keep reading
If you need one skill to then it is Problem Solving. There are many aspects to problem solving.
AI and DS started flourishing because the data availability sky rocketed along with the Computational power. Consider the datapoint.
How can these 5 points determine whether the company will default on the loan? In past, there will be no way to find out, apart from lot of calculation, years of experience and finally taking risk and extending credit. Finally see if the company repays it. That was a problem to banks. Today, the problem is solved (atleast 97%), to an extent that it is possible to predict the default ahead of time.
The Key is PREDICT. AI and DS are used extensively to predict the outcomes. They are used to locate the correlations, that our naked eyes or paper pencil calculations cannot show. All you need is the creativity and intuition to predict what might happen next.
Programming, Math are just tools. If you can predict or if your intuition says something will happen, then you use programming to collect the data and math to work on the data to PROVE you are correct. This is a very powerful ability. Leaders and effective managers use data so skillfully to influence the world around them.
Visualise yourself sitting in a meeting with a potential partner, and he is sharing you the benefits of a investment Scheme. As he continues to explain, your intuition says is there some flaw in the investment opportunity. You are unable to find it out. What you do next? Go to Google and ask for reviews from other users, or directly ask for the pro and cons of the investment scheme. Here you are trying to predict what will happen if you choose the scheme. You solved the problem, correct?
If you want others also to solve the problem, or if you want to solve the same problem with different values, conditions, and time lines then you can automate the process by programming it. The steps you take manually can be programmed simply using any programming language, say python and execute the below PSEUDOCODE.
Each step above needs many steps, and many problems to solve. You have to imagine what you need as end result and walk back towards the current situation. Many things like programming, libraries, databases knowledge might be required, or you can hire someone to do it for you. Again, you can solve the problem that you have.
It is acceptable to be unaware of something and be weak in it. It is unacceptable to be weak after you know how to master a skill. All it takes to learn problem solving and programming is the passion to solve problems and create change in your own life and that of others.
There are so many free resources that is offered by many online Problem solving websites, that you can learn from. Many programming languages can be compiled on the websites. The data is available freely if you search in in Google. Change your mindset and start solving problems. Solve easy ones and gain confidence, then move to difficult ones. There are books which curate problems from easy to difficult levels. Search for them, and you will get it.
Have a great life and wonderful time learning to solve problems."
16,https://www.quora.com/Im-15-year-old-and-I-want-to-learn-computer-science-How-should-I-begin/answer/Kamal-Raj-17,133,1,www.quora.com,Im-15-year-old-and-I-want-to-learn-computer-science-How-should-I-begin,"Two points will be more important whether you pursue CS or any other engineering course.
Everything is about Logic. So solve lot of problems in your free time. Take a book that curates easy to difficult programs and start solving them. Most of the books will refer online judges. You can use the judge to chk your solution.
Learn one Programming Language, depending on the stream you choose.
For CS , IT guys Python/ Javascript. Electrical and Electronics start with Matlab and then Master assembly language. Mechanical and Civil it is Engineering drawing(language here is the geometries)"
17,https://www.quora.com/What-brands-and-companies-fail-because-they-dont-improve/answer/Kamal-Raj-17,36,–,www.quora.com,What-brands-and-companies-fail-because-they-dont-improve,"Companies fail because they are not managed well and the cash flow is not sufficient to stay afloat. Companies can sustain on their sales, and remain sthgnant without any improvement. Take some of our Kirana stores. They don't change muck. They are still around because they manage well"
18,https://www.quora.com/Im-confused-between-machine-learning-and-penetration-testing-even-though-I-love-both-careers-quite-much-but-I-cant-learn-more-than-one-skill-What-should-I-do-1/answer/Kamal-Raj-17,137,–,www.quora.com,Im-confused-between-machine-learning-and-penetration-testing-even-though-I-love-both-careers-quite-much-but-I-cant-learn-more-than-one-skill-What-should-I-do-1,"Pentest and ML both are about creativity and needs sound knowledge in programming. Instead of choosing the field choose the tool that is common in both the feilds, that is programming.
When you can code fluently, meaning you can get the output that you want from the computer fluently for number of problems, you can learn ML or Pentest easily.
Have a great career."
19,https://www.quora.com/What-should-I-major-in-to-launch-my-own-Machine-Consciousness-company-building-artificial-general-intelligence/answer/Kamal-Raj-17,53,–,www.quora.com,What-should-I-major-in-to-launch-my-own-Machine-Consciousness-company-building-artificial-general-intelligence,"Oh, you can come work for me, I already have the idea to create the AGI. Just kidding..OpenAI. Deepmind H2OAi are some companies already working on this route.
You need to major is physics, computer science and mathematics, specifically geared towards making emergent systems. That is just the start. Or you have to hire such people and pay them to work on creating the AGI. That is what Musk is doing, in Neuralink and OpenAi.
If you get to AGI,then you may have to let the AGI run your company… Hmm, interesting situation, rite? Think about it. Musk is alread fighting that such level of AI should not be created. Musk is a physics major too.
An AGI has to be connected with multiple AGI in order to show emergent behaviour. Then only AGI can become conscious. Because physicists have proved consciousness is a cause of an emergent system, our brain.
There are many books written on this topic. search for it in google. Then choose your career wisely."
