SecurityCode,CompanyName,Industry,Type,Quarter,DateBegin,DateEnd,Description,OtherIncome,TotalIncome,Expenditure,CostofMaterialsConsumed,FinanceCosts,OtherExpenses,ChangesInInventoriesofFinishedGoodsWorkinprogressandStockintrade,EmployeeBenefitExpense,DepreciationAndAmortisationExpense,ProfitAfterInterestbutbeforeExceptionalItems,ProfitLossfromOrdinaryActivitiesbeforeTax,Tax,NetProfitLossfromOrdinaryActivitiesafterTax,NetProfit,Currenttax,NextStockDeviation,Deferredtax,ProfitfromOperationsbeforeOtherIncomeInterestandExceptionalItems,ProfitbeforeInterestandExceptionalItems,Interest,OtherOperatingIncome,Purchasesofstockintrade
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q2 2019,01-Apr-19,30-Jun-19,Amount (Rs. million),48.20,9533.20,-8195.60,-5749.80,-226.70,-540.30,-860.50,-575.70,-242.60,,1337.60,-267.80,1069.80,1056.10,-288.30,380.4,20.50,,,,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Audited,Q1 2019,01-Jan-19,31-Mar-19,Amount (Rs. million),77.00,13350.40,-11062.30,-19037.40,-137.50,-1002.60,10023.80,-673.00,-235.60,2288.10,2288.10,570.10,2858.20,2858.20,-495.50,277.35,1065.60,,,,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q4 2018,01-Oct-18,31-Dec-18,Amount (Rs. million),217.70,9626.80,-8084.60,-9023.10,-23.20,-772.90,2576.80,-588.30,-253.90,1542.20,1542.20,-339.00,1203.20,1203.20,-332.30,165.25,-6.70,,,,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q3 2018,01-Jul-18,30-Sep-18,Amount (Rs. million),77.00,10226.90,-9058.20,-208.30,-83.40,-663.10,-7326.30,-541.00,-236.10,1168.70,1168.70,-259.50,909.20,909.20,-251.90,158.95,-7.60,,,,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q2 2018,01-Apr-18,30-Jun-18,Amount (Rs. million),55.70,10081.10,-9129.80,-7685.30,-165.30,-653.40,109.40,-502.30,-232.90,951.30,951.30,-215.50,735.80,735.80,-205.00,124.45,-10.50,,,,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Audited,Q1 2018,01-Jan-18,31-Mar-18,Amount (Rs. million),114.90,10370.10,-10691.70,-19171.50,-121.40,-680.70,10138.30,-623.20,-233.20,-321.60,-321.60,-105.30,-426.90,-426.90,66.10,98.25,-171.40,,,,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q4 2017,01-Oct-17,31-Dec-17,Amount (Rs. million),55.90,10075.00,-9177.30,-9441.70,-8.10,-703.40,1759.10,-539.00,-244.20,897.70,897.70,-283.50,614.20,614.20,-190.20,101.0,-93.30,,,,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q3 2017,01-Jul-17,30-Sep-17,Amount (Rs. million),37.40,12405.80,-11294.90,-32.00,-127.10,-372.50,-10070.80,-455.90,-236.60,1110.90,1110.90,-287.00,823.90,823.90,-236.60,161.9,-50.40,,,,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q2 2017,01-Apr-17,30-Jun-17,Amount (Rs. million),69.60,11434.10,-9799.20,-2003.60,-263.70,-365.90,-5924.10,-421.90,-238.20,1634.90,1634.90,-434.90,1200.00,1200.00,-349.40,140.6,-85.50,,,,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Audited,Q1 2017,01-Jan-17,31-Mar-17,Amount (Rs. million),58.60,8935.00,-6674.70,-17068.30,-194.90,-967.60,12876.50,-653.20,-251.70,2260.30,2260.30,-256.40,2003.90,,-494.40,149.2,238.00,,,,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q4 2016,01-Oct-16,31-Dec-16,Amount (Rs. million),96.90,,-7686.50,-8200.80,,-825.30,,,-256.30,2275.50,2275.50,-523.50,1752.00,1752.00,,121.15,,2206.60,2303.50,-28.00,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q3 2016,01-Jul-16,30-Sep-16,Amount (Rs. million),40.80,,-7918.70,-31.20,,-407.00,,,-273.60,1374.80,1374.80,-314.80,1060.00,1060.00,,105.85,,1453.50,1494.30,-119.50,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q2 2016,01-Apr-16,30-Jun-16,Amount (Rs. million),53.10,,-6678.60,-468.20,,-323.30,,,-267.80,1430.90,1430.90,-323.90,1107.00,1107.00,,72.0,,1589.70,1642.80,-211.90,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Audited,Q1 2016,01-Jan-16,31-Mar-16,Amount (Rs. million),65.90,,-4852.10,-14405.90,,-845.70,,,-262.40,2731.80,1042.40,-54.60,987.80,987.80,,69.0,,2853.90,2919.80,-188.00,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q4 2015,01-Oct-15,31-Dec-15,Amount (Rs. million),34.80,,-7568.00,-5275.40,,-527.30,,,-274.50,879.80,879.80,-1.80,878.00,878.00,,140.65,,920.80,955.60,-75.80,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q3 2015,01-Jul-15,30-Sep-15,Amount (Rs. million),301.00,,-5260.50,-35.60,,-375.50,,,-283.70,-144.20,-144.20,,-144.20,-144.20,,170.2,,-249.80,51.20,-195.40,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q2 2015,01-Apr-15,30-Jun-15,Amount (Rs. million),43.80,,-6794.00,-1408.50,,-347.60,,,-280.50,-685.80,-727.40,,-727.40,-727.40,,164.25,,-432.80,-389.00,-296.80,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Audited,Q1 2015,01-Jan-15,31-Mar-15,Amount (Rs. million),95.10,,-5839.00,-13461.00,,-804.30,,,-280.30,573.90,573.90,184.30,758.20,758.20,,161.1,,744.20,839.30,-265.40,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q4 2014,01-Oct-14,31-Dec-14,Amount (Rs. million),29.30,,-8941.30,-5334.60,,-493.70,,,-257.10,-656.90,-656.90,,-656.90,-656.90,,87.9,,-524.40,-495.10,-161.80,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q3 2014,01-Jul-14,30-Sep-14,Amount (Rs. million),39.50,,-7225.10,,,-354.80,,,-399.90,-639.00,-639.00,,-639.00,-639.00,,115.6,,-399.00,-359.50,-279.50,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q2 2014,01-Apr-14,30-Jun-14,Amount (Rs. million),26.90,,-7795.90,-2466.10,,-390.00,,,-218.70,-39.60,-39.60,,-39.60,-39.60,,131.9,,247.70,274.60,-314.20,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Audited,Q1 2014,01-Jan-14,31-Mar-14,Amount (Rs. million),85.10,,-4886.50,,,-931.90,,,-270.00,1969.80,1969.80,-70.80,1899.00,1899.00,,106.15,,2113.30,2198.40,-228.60,,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q4 2019,01-Oct-19,31-Dec-19,Amount (Rs. million),155.60,5200.00,-4812.80,-5086.20,-165.70,,1560.20,-367.70,-151.80,,387.20,-120.40,266.80,266.80,-105.20,137.65,-15.20,,,,,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q3 2019,01-Jul-19,30-Sep-19,Amount (Rs. million),871.70,4904.70,-4222.50,79.20,-213.50,,-3243.00,-297.10,-143.80,,682.20,-180.90,501.30,501.30,-127.70,393.5,-53.20,,,,,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q2 2019,01-Apr-19,30-Jun-19,Amount (Rs. million),106.50,6001.60,-5314.60,-2609.30,-246.40,-625.50,-1413.50,-293.60,-126.30,687.00,687.00,-143.10,543.90,,-157.00,477.85,13.90,,,,,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Audited,Q1 2019,01-Jan-19,31-Mar-19,Amount (Rs. million),201.40,5890.80,-5411.80,-8282.70,-265.80,,4688.50,-392.70,-137.70,479.00,479.00,-17.20,461.80,461.80,-107.40,252.45,90.20,,,,,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q4 2018,01-Oct-18,31-Dec-18,Amount (Rs. million),450.40,4674.70,-4129.10,-5158.70,-135.00,,2198.00,-299.80,-128.70,545.60,545.60,-112.00,433.60,433.60,-102.60,114.05,-9.40,,,,,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q3 2018,01-Jul-18,30-Sep-18,Amount (Rs. million),132.00,3851.60,-3485.60,59.60,-129.90,,-2675.70,-245.70,-126.30,366.00,366.00,-7.80,358.20,358.20,-82.30,129.9,74.50,,,,,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q2 2018,01-Apr-18,30-Jun-18,Amount (Rs. million),85.30,6618.30,-5970.80,-3980.50,-155.40,,-926.80,-236.70,-122.10,647.50,647.50,-27.10,620.40,620.40,-144.00,122.8,116.90,,,,,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Audited,Q1 2018,01-Jan-18,31-Mar-18,Amount (Rs. million),111.50,4923.00,-5264.50,-7799.50,-142.60,,3752.70,-357.40,-139.00,-341.50,-341.50,215.90,-125.60,-125.60,-48.40,59.9,264.30,,,,,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q4 2017,01-Oct-17,31-Dec-17,Amount (Rs. million),85.20,6114.80,-5394.60,-5824.30,-126.20,,1562.00,-273.60,-135.90,720.20,720.20,-177.80,542.40,542.40,-153.50,90.75,-24.30,,,,,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q3 2017,01-Jul-17,30-Sep-17,Amount (Rs. million),83.90,5296.90,-4848.30,-23.80,-155.50,,-4035.20,-221.30,-132.50,448.60,448.60,-75.50,373.10,373.10,-53.20,93.9,-22.30,,,,,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q2 2017,01-Apr-17,30-Jun-17,Amount (Rs. million),61.40,6747.70,-6096.40,-1179.70,-270.40,,-3451.40,-186.60,-129.40,651.30,651.30,-100.30,551.00,551.00,-60.10,86.15,-40.20,,,,,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Audited,Q1 2017,01-Jan-17,31-Mar-17,Amount (Rs. million),45.90,4319.10,-3704.40,-6338.80,-258.80,,4517.90,-465.60,-143.10,614.70,614.70,-223.00,391.70,391.70,,111.25,,,,,,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q4 2016,01-Oct-16,31-Dec-16,Amount (Rs. million),24.80,,-3842.00,-4374.70,,,,,-137.10,800.60,800.60,-324.30,476.30,,,105.2,,978.70,1003.50,-202.90,17.60,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q3 2016,01-Jul-16,30-Sep-16,Amount (Rs. million),33.10,,-3552.90,-58.00,,,,,-136.90,483.30,483.30,,483.30,483.30,,90.1,,676.70,709.80,-226.50,53.40,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q2 2016,01-Apr-16,30-Jun-16,Amount (Rs. million),13.90,,-2817.70,-66.10,,,,,-138.60,483.10,483.10,,483.10,483.10,,54.7,,718.90,732.80,-249.70,111.50,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Audited,Q1 2016,01-Jan-16,31-Mar-16,Amount (Rs. million),42.80,,-2656.40,-6000.60,,,,,-774.40,471.40,471.40,90.60,562.00,,,63.5,,658.70,701.50,-230.10,45.70,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q4 2015,01-Oct-15,31-Dec-15,Amount (Rs. million),57.60,,-2463.80,-2886.00,,,,,-120.20,169.80,169.80,-0.30,169.50,,,189.4,,300.80,358.40,-188.60,32.20,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q3 2015,01-Jul-15,30-Sep-15,Amount (Rs. million),72.80,,-2561.40,-3.30,,,,,-117.00,-59.50,-59.50,8.20,,,,182.4,,84.10,156.90,-216.40,1.70,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q2 2015,01-Apr-15,30-Jun-15,Amount (Rs. million),41.40,,-3093.10,-521.00,,,,,-122.40,-107.10,-107.10,11.40,,,,154.4,,91.30,132.70,-239.80,536.60,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Audited,Q1 2015,01-Jan-15,31-Mar-15,Amount (Rs. million),20.20,,-2696.70,-5461.90,,,,,-157.00,306.60,306.60,-17.90,,,,175.7,,505.90,526.10,-219.50,59.40,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q4 2014,01-Oct-14,31-Dec-14,Amount (Rs. million),40.30,,-2659.90,-2588.70,,,,,-112.10,-191.20,-191.20,15.60,,,,68.2,,-59.20,-18.90,-172.30,28.60,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q3 2014,01-Jul-14,30-Sep-14,Amount (Rs. million),77.70,,-2460.10,-2.70,,,,,-130.90,-172.80,-172.80,18.30,,,,118.5,,-56.90,20.80,-193.60,151.60,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Un-Audited,Q2 2014,01-Apr-14,30-Jun-14,Amount (Rs. million),21.40,,-3060.60,-941.10,,,,,-105.80,60.20,60.20,-4.00,,,,155.3,,233.40,254.80,-194.60,22.80,
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar,Audited,Q1 2014,01-Jan-14,31-Mar-14,Amount (Rs. million),62.70,,-2187.70,-5431.40,,,,,-141.60,784.80,784.80,-22.60,762.20,,,95.6,,896.80,959.50,-174.70,27.40,
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Un-Audited,Q4 2019,01-Oct-19,31-Dec-19,Amount (Rs. million),17.07,8221.55,-7688.90,-8084.00,-204.87,-779.97,2566.12,-385.02,-188.64,,532.65,-22.36,510.29,510.29,-20.64,160.05,-1.72,,,,,-418.46
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Un-Audited,Q3 2019,01-Jul-19,30-Sep-19,Amount (Rs. million),107.53,7047.08,-7006.49,-638.83,-210.71,-424.49,-4592.08,-278.04,-182.72,,40.58,-20.00,0.00,20.58,-19.20,294.55,-0.80,,,,,-679.62
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Un-Audited,Q2 2019,01-Apr-19,30-Jun-19,Amount (Rs. million),127.16,9497.77,-8734.37,-4489.98,-340.06,-549.06,-2239.34,-356.43,-178.83,,763.40,-178.79,584.61,584.61,-172.40,354.85,-6.39,,,,,-580.69
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Un-Audited,Q1 2019,01-Jan-19,31-Mar-19,Amount (Rs. million),123.25,9006.93,-7635.49,-11423.46,-282.23,-886.89,6740.76,-441.46,-274.87,1371.44,1371.44,-283.22,1088.23,,-234.19,226.1,-49.03,,,,,-1067.35
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Un-Audited,Q4 2018,01-Oct-18,31-Dec-18,Amount (Rs. million),9.24,7994.31,-7104.23,-7051.38,-150.15,,2120.97,-413.61,-165.02,890.08,890.08,-69.60,820.48,,-206.59,204.0,136.99,,,,,-710.54
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Un-Audited,Q3 2018,01-Jul-18,30-Sep-18,Amount (Rs. million),26.75,5354.62,-4911.76,-356.40,-184.18,-257.82,-3249.57,-269.78,,442.86,442.86,-158.64,284.23,,-102.50,142.05,-56.14,,,,,-477.71
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Un-Audited,Q2 2018,01-Apr-18,30-Jun-18,Amount (Rs. million),25.07,7369.08,-6881.93,-4820.82,-296.57,-758.96,-201.39,-371.94,,,487.15,-170.53,316.62,316.62,-109.50,125.4,-61.03,,,,,-280.90
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Audited,Q1 2018,01-Jan-18,31-Mar-18,Amount (Rs. million),148.28,9360.67,-9914.37,-12310.70,-281.23,,4721.54,-361.82,,-553.70,-553.70,193.51,,,-231.60,98.8,425.11,,,,,-307.66
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Un-Audited,Q4 2017,01-Oct-17,31-Dec-17,Amount (Rs. million),55.15,7836.60,-6995.09,-8532.24,-212.22,-724.04,3349.94,-356.55,-160.11,841.50,841.50,-198.91,642.59,,,166.9,-198.91,,,,,-204.22
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Un-Audited,Q3 2017,01-Jul-17,30-Sep-17,Amount (Rs. million),47.21,8068.35,-7198.45,-132.41,-280.31,-331.12,-6285.71,-272.94,-113.27,,869.90,-264.75,605.15,605.15,,213.1,-264.75,,,,,-136.25
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Un-Audited,Q2 2017,01-Apr-17,30-Jun-17,Amount (Rs. million),23.04,8966.18,-8097.73,-1972.13,-441.39,-416.69,-4339.47,-274.03,,,868.45,-242.10,626.35,626.35,,159.15,,,,,,-252.56
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Audited,Q1 2017,01-Jan-17,31-Mar-17,Amount (Rs. million),128.19,7968.16,-6811.59,-10525.60,-514.19,-805.74,6885.22,-577.11,-159.03,1156.57,,,,,,221.85,,,,,-5.81,-371.30
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Un-Audited,Q4 2016,01-Oct-16,31-Dec-16,Amount (Rs. million),46.36,,-5531.63,-6505.79,,-669.04,,,-144.97,,911.22,-342.42,568.80,,,189.05,,,,-319.02,22.62,
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Un-Audited,Q3 2016,01-Jul-16,30-Sep-16,Amount (Rs. million),33.56,,-5652.45,-119.03,,-386.75,,,-116.08,604.09,,,,,,157.0,,940.40,973.96,-369.87,2.96,
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Un-Audited,Q2 2016,01-Apr-16,30-Jun-16,Amount (Rs. million),36.74,,-4044.05,-979.28,,-429.54,,,-122.63,477.54,,,,,,84.5,,909.67,946.41,-468.87,176.87,
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Audited,Q1 2016,01-Jan-16,31-Mar-16,Amount (Rs. million),158.97,,-4136.01,-8766.90,,-680.02,,,-147.37,1071.17,,,,,,93.55,,1309.77,1468.74,-397.57,-168.93,
500119,DHAMPUR SUGAR MILLS LTD.,Sugar,Un-Audited,Q4 2015,01-Oct-15,31-Dec-15,Amount (Rs. million),55.32,,-4974.55,-4208.23,,-488.75,,,-155.08,,91.99,0.00,91.99,,,177.05,,,,-296.98,25.15,
532356,TRIVENI ENGINEERING,Sugar,Un-Audited,Q4 2019,01-Oct-19,31-Dec-19,Amount (Rs. million),67.50,10760.10,-10147.20,-9116.90,-140.40,-1030.80,1052.50,-637.00,-192.90,612.90,612.90,-214.00,398.90,,-116.70,70.65,-97.30,,,,,-81.70
532356,TRIVENI ENGINEERING,Sugar,Un-Audited,Q3 2019,01-Jul-19,30-Sep-19,Amount (Rs. million),154.30,9633.90,-8047.20,-216.50,-155.10,-646.80,-6244.20,-567.00,-191.20,,1586.70,-495.70,1091.00,1183.00,-271.10,190.3,-224.60,,,,,-26.40
532356,TRIVENI ENGINEERING,Sugar,Un-Audited,Q2 2019,01-Apr-19,30-Jun-19,Amount (Rs. million),66.00,9319.90,-8870.00,-6545.80,-347.00,-936.00,-219.30,-594.10,-179.20,449.90,449.90,-128.70,321.20,,-100.90,185.85,-27.80,,,,,-48.60
532356,TRIVENI ENGINEERING,Sugar,Audited,Q1 2019,01-Jan-19,31-Mar-19,Amount (Rs. million),43.50,8586.20,-7770.30,-13610.10,-256.70,-1239.60,8181.70,-640.70,-141.80,,815.90,-95.30,720.60,797.30,-196.40,121.45,101.10,,,,,-63.10
532356,TRIVENI ENGINEERING,Sugar,Un-Audited,Q4 2018,01-Oct-18,31-Dec-18,Amount (Rs. million),464.90,9496.00,-8649.80,-8078.10,-63.60,-1189.50,1449.80,-572.60,-143.30,,846.20,-215.90,630.30,670.70,-224.60,78.15,8.70,,,,,-52.50
532356,TRIVENI ENGINEERING,Sugar,Un-Audited,Q3 2018,01-Jul-18,30-Sep-18,Amount (Rs. million),74.80,6952.30,-6555.80,-425.70,-132.10,-586.50,-4411.60,-515.60,,396.50,396.50,-125.20,,,-89.00,70.7,-36.20,,,,,-29.40
532356,TRIVENI ENGINEERING,Sugar,Un-Audited,Q2 2018,01-Apr-18,30-Jun-18,Amount (Rs. million),53.10,7119.20,-6702.00,-5405.10,-227.50,-860.90,178.30,-509.80,,,417.20,-78.90,338.30,371.20,-91.30,53.2,12.40,,,,,-47.50
532356,TRIVENI ENGINEERING,Sugar,Audited,Q1 2018,01-Jan-18,31-Mar-18,Amount (Rs. million),71.30,7419.20,-8842.10,-14042.90,-206.70,-1017.40,7942.70,-586.60,,,-1422.90,326.10,-1096.80,-1020.90,349.10,36.3,-23.00,,,,,-57.70
532356,TRIVENI ENGINEERING,Sugar,Un-Audited,Q4 2017,01-Oct-17,31-Dec-17,Amount (Rs. million),34.10,7759.60,-7002.20,-9665.90,-71.10,-820.10,4587.00,-534.30,-139.00,757.40,757.40,-190.00,,,-187.90,40.65,-2.10,,,,,-48.80
532356,TRIVENI ENGINEERING,Sugar,Un-Audited,Q3 2017,01-Jul-17,30-Sep-17,Amount (Rs. million),25.10,10632.60,-9275.10,-368.30,-207.70,-579.10,,,-137.80,1357.50,1406.90,-400.70,,,,63.599999999999994,,,,,,
532356,TRIVENI ENGINEERING,Sugar,Un-Audited,Q2 2017,01-Apr-17,30-Jun-17,Amount (Rs. million),23.90,8466.80,-7652.60,-1737.40,-367.90,,-4348.70,-446.10,-137.40,814.20,814.20,-232.40,,,,53.45,,,,,,-36.60
532356,TRIVENI ENGINEERING,Sugar,Audited,Q1 2017,01-Jan-17,31-Mar-17,Amount (Rs. million),101.60,9476.70,-8172.50,-12239.20,-325.80,-882.60,,,,,449.50,122.90,572.40,,,64.9,,,,,57.60,
532356,TRIVENI ENGINEERING,Sugar,Un-Audited,Q4 2016,01-Oct-16,31-Dec-16,Amount (Rs. million),40.10,,-6104.10,-7769.20,,-704.50,,,-141.00,,944.60,-256.50,688.10,,,63.150000000000006,,,,-228.20,19.20,
532356,TRIVENI ENGINEERING,Sugar,Un-Audited,Q3 2016,01-Jul-16,30-Sep-16,Amount (Rs. million),57.90,,-5663.90,-106.30,,-617.10,,,-137.60,830.80,,,,,,46.7,,1091.20,1149.10,-318.30,17.60,
532356,TRIVENI ENGINEERING,Sugar,Un-Audited,Q2 2016,01-Apr-16,30-Jun-16,Amount (Rs. million),71.70,,-5117.50,-529.90,,-545.50,,,-131.70,,569.50,-141.60,427.90,,,38.35,,,,-393.30,18.60,
532356,TRIVENI ENGINEERING,Sugar,Audited,Q1 2016,01-Jan-16,31-Mar-16,Amount (Rs. million),69.90,,-4112.80,-9717.30,,-834.20,,,-149.70,,365.40,-0.10,365.30,,,39.1,,,,-289.60,37.30,
532356,TRIVENI ENGINEERING,Sugar,Un-Audited,Q4 2015,01-Oct-15,31-Dec-15,Amount (Rs. million),19.90,,-4854.00,-3873.20,,-598.50,,,-141.80,84.00,,,,,,71.05,,262.20,282.10,-198.10,20.70,
532610,DWARIKESH SUGAR INDUSTRIES LTD.,Sugar,Un-Audited,Q4 2019,01-Oct-19,31-Dec-19,Amount (Rs. million),11.89,3207.05,-3092.04,-3570.38,-51.15,,1091.66,-227.75,-100.69,115.00,115.00,-69.73,45.28,45.28,-20.09,28.0,-49.63,,,,,
532610,DWARIKESH SUGAR INDUSTRIES LTD.,Sugar,Un-Audited,Q3 2019,01-Jul-19,30-Sep-19,Amount (Rs. million),12.20,1771.22,-1733.87,-3.53,-74.69,,-1216.53,-158.45,-83.33,37.35,37.35,9.98,47.33,47.33,1.33,69.85,8.64,,,,,
