S/N,Date,Branch,Pizza Type,Quantity,Time,Time Range,Price
39,42352,Abuja,Pepperoni Feast,5,0.334212962962963,Before 9:00am,16
40,42343,Ikoyi,Chicken Bali,4,0.334224537037037,Before 9:00am,8
41,42343,Ikoyi,Pepperoni Suya,2,0.334236111111111,Before 9:00am,12
42,42348,Lekki,BBQ Philly Steak,5,0.334259259259259,Before 9:00am,16
43,42350,Surulere,Chicken Bali,3,0.334270833333333,Before 9:00am,8
44,42349,Lekki,Italiano,5,0.334282407407407,Before 9:00am,12
45,42348,Lekki,BBQ Philly Steak,4,0.334328703703704,Before 9:00am,16
46,42346,Ikoyi,Hot Pepperoni Feast,5,0.334351851851852,Before 9:00am,16
47,42347,Ikoyi,Chicken Legend,2,0.334386574074074,Before 9:00am,8
48,42345,Ikoyi,Chicken Bali,2,0.334398148148148,Before 9:00am,8
49,42350,Ikoyi,BBQ Philly Steak,1,0.334421296296296,Before 9:00am,16
50,42344,Surulere,BBQ Chicken,4,0.334421296296296,Before 9:00am,16
51,42343,Ibadan,Pepperoni Feast,4,0.33443287037037,Before 9:00am,16
52,42350,Lekki,BBQ Philly Steak,1,0.334444444444444,Before 9:00am,16
53,42352,Abuja,BBQ Philly Steak,4,0.334444444444444,Before 9:00am,16
54,42352,Abuja,Pepperoni Suya,2,0.334456018518519,Before 9:00am,12
55,42346,Lekki,Veggie Supreme,5,0.334456018518519,Before 9:00am,12
56,42341,Surulere,Chicken Suya,5,0.334479166666667,Before 9:00am,16
57,42343,Surulere,Margarita,4,0.334525462962963,Before 9:00am,16
58,42351,Surulere,Chicken Bali,5,0.334537037037037,Before 9:00am,8
59,42347,Lekki,Meatzaa,5,0.334537037037037,Before 9:00am,8
60,42347,Surulere,BBQ Philly Steak,3,0.334560185185185,Before 9:00am,16
61,42349,Ikoyi,Pepperoni Suya,5,0.334583333333333,Before 9:00am,12
62,42344,Lekki,Chicken Feast,5,0.334594907407407,Before 9:00am,8
63,42349,Lekki,Chicken Feast,4,0.33462962962963,Before 9:00am,8
64,42343,Lekki,Chicken Suya,2,0.334652777777778,Before 9:00am,16
65,42352,Abuja,Chicken Legend,3,0.334664351851852,Before 9:00am,8
66,42353,Ibadan,Chicken Feast,4,0.334675925925926,Before 9:00am,8
67,42348,Ikoyi,Chicken Bali,1,0.334756944444444,Before 9:00am,8
68,42346,Ibadan,Pepperoni Suya,1,0.334756944444444,Before 9:00am,12
69,42352,Ikoyi,Pepperoni Feast,3,0.334768518518519,Before 9:00am,16
70,42341,Abuja,Beef Suya,3,0.334780092592593,Before 9:00am,12
71,42341,Surulere,BBQ Chicken,1,0.334791666666667,Before 9:00am,16
72,42348,Ibadan,Pepperoni Feast,3,0.334837962962963,Before 9:00am,16
73,42345,Abuja,Pepperoni Feast,5,0.334872685185185,Before 9:00am,16
74,42346,Ibadan,BBQ Chicken,2,0.334872685185185,Before 9:00am,16
75,42344,Lekki,Extravaganza,5,0.334930555555556,Before 9:00am,8
76,42347,Ikoyi,Chicken Legend,1,0.334930555555556,Before 9:00am,8
77,42344,Ibadan,Pepperoni Suya,2,0.334976851851852,Before 9:00am,12
78,42351,Lekki,Hot Veggie,2,0.334976851851852,Before 9:00am,16
79,42345,Ikoyi,Extravaganza,3,0.335069444444444,Before 9:00am,8
80,42342,Surulere,Chicken Suya,3,0.335081018518519,Before 9:00am,16
81,42341,Abuja,Pepperoni Feast,5,0.335127314814815,Before 9:00am,16
82,42350,Ibadan,Pepperoni Feast,3,0.335138888888889,Before 9:00am,16
83,42342,Ikoyi,BBQ Chicken,3,0.335150462962963,Before 9:00am,16
84,42346,Abuja,BBQ Philly Steak,4,0.335162037037037,Before 9:00am,16
85,42343,Ikoyi,Hot Veggie,5,0.335162037037037,Before 9:00am,16
86,42351,Ikoyi,Chicken Bali,1,0.335208333333333,Before 9:00am,8
87,42343,Abuja,Beef Suya,2,0.335231481481481,Before 9:00am,12
88,42342,Surulere,BBQ Philly Steak,2,0.33525462962963,Before 9:00am,16
89,42345,Ibadan,Veggie Supreme,4,0.335266203703704,Before 9:00am,12
90,42347,Surulere,Chicken Suya,1,0.335266203703704,Before 9:00am,16
91,42348,Abuja,BBQ Chicken,5,0.335289351851852,Before 9:00am,16
92,42345,Ibadan,BBQ Philly Steak,4,0.335300925925926,Before 9:00am,16
93,42352,Abuja,Meatzaa,5,0.335300925925926,Before 9:00am,8
94,42343,Lekki,Hot Veggie,5,0.335358796296296,Before 9:00am,16
95,42349,Ibadan,Italiano,2,0.335416666666667,Before 9:00am,12
96,42342,Ibadan,BBQ Philly Steak,3,0.335428240740741,Before 9:00am,16
97,42342,Surulere,Chicken Legend,1,0.335439814814815,Before 9:00am,8
98,42352,Surulere,Hot Pepperoni Feast,2,0.335474537037037,Before 9:00am,16
99,42343,Lekki,Hot Pepperoni Feast,4,0.335474537037037,Before 9:00am,16
100,42353,Ibadan,BBQ Philly Steak,4,0.335520833333333,Before 9:00am,16
101,42352,Ikoyi,Veggie Supreme,3,0.335532407407407,Before 9:00am,12
102,42342,Surulere,Chicken Suya,5,0.335532407407407,Before 9:00am,16
103,42345,Ibadan,Pepperoni Suya,5,0.335590277777778,Before 9:00am,12
104,42343,Surulere,Chicken Bali,4,0.335613425925926,Before 9:00am,8
105,42347,Lekki,Extravaganza,4,0.335625,Before 9:00am,8
106,42352,Abuja,Veggie Supreme,5,0.335671296296296,Before 9:00am,12
107,42349,Lekki,Pepperoni Feast,3,0.335706018518519,Before 9:00am,16
108,42346,Lekki,Chicken Suya,5,0.335717592592593,Before 9:00am,16
109,42350,Surulere,Italiano,1,0.335729166666667,Before 9:00am,12
110,42343,Ibadan,Margarita,4,0.335740740740741,Before 9:00am,16
111,42345,Surulere,Chicken Suya,5,0.335752314814815,Before 9:00am,16
112,42347,Abuja,Meatzaa,4,0.335752314814815,Before 9:00am,8
113,42341,Ikoyi,Veggie Supreme,2,0.335775462962963,Before 9:00am,12
114,42343,Ibadan,Chicken Bali,3,0.335787037037037,Before 9:00am,8
115,42347,Lekki,Italiano,3,0.335787037037037,Before 9:00am,12
116,42344,Ikoyi,Hot Pepperoni Feast,4,0.335787037037037,Before 9:00am,16
117,42348,Surulere,Pepperoni Suya,4,0.335798611111111,Before 9:00am,12
118,42341,Abuja,Beef Suya,3,0.335833333333333,Before 9:00am,12
119,42345,Ikoyi,Veggie Supreme,5,0.335868055555556,Before 9:00am,12
120,42351,Surulere,Italiano,4,0.335925925925926,Before 9:00am,12
121,42345,Abuja,Hot Pepperoni Feast,2,0.335925925925926,Before 9:00am,16
122,42348,Lekki,Chicken Suya,2,0.336018518518518,Before 9:00am,16
123,42350,Ikoyi,Veggie Supreme,4,0.336030092592593,Before 9:00am,12
124,42341,Abuja,Meatzaa,4,0.336041666666667,Before 9:00am,8
125,42341,Abuja,Hot Veggie,5,0.336041666666667,Before 9:00am,16
126,42351,Ibadan,BBQ Philly Steak,4,0.336041666666667,Before 9:00am,16
127,42349,Ibadan,Beef Suya,1,0.336076388888889,Before 9:00am,12
128,42346,Ikoyi,Veggie Supreme,3,0.336111111111111,Before 9:00am,12
129,42350,Ikoyi,Hot Veggie,2,0.336122685185185,Before 9:00am,16
130,42348,Lekki,Margarita,4,0.336157407407407,Before 9:00am,16
131,42348,Abuja,Chicken Legend,1,0.33619212962963,Before 9:00am,8
132,42344,Lekki,Veggie Supreme,1,0.336261574074074,Before 9:00am,12
133,42349,Surulere,Hot Veggie,5,0.336273148148148,Before 9:00am,16
134,42345,Ikoyi,Pepperoni Suya,4,0.336319444444444,Before 9:00am,12
135,42353,Lekki,BBQ Philly Steak,4,0.336319444444444,Before 9:00am,16
136,42349,Lekki,Meatzaa,5,0.336331018518519,Before 9:00am,8
137,42341,Abuja,Beef Suya,2,0.336342592592593,Before 9:00am,12
138,42344,Abuja,Pepperoni Feast,5,0.336354166666667,Before 9:00am,16
139,42343,Abuja,BBQ Philly Steak,2,0.336354166666667,Before 9:00am,16
140,42342,Lekki,Margarita,1,0.336354166666667,Before 9:00am,16
141,42353,Ikoyi,Chicken Suya,2,0.336388888888889,Before 9:00am,16
142,42351,Ikoyi,Chicken Bali,2,0.336423611111111,Before 9:00am,8
143,42341,Ikoyi,Margarita,3,0.336435185185185,Before 9:00am,16
144,42353,Ibadan,Pepperoni Feast,5,0.336516203703704,Before 9:00am,16
145,42349,Ibadan,Pepperoni Feast,3,0.336516203703704,Before 9:00am,16
146,42351,Ibadan,Beef Suya,1,0.336574074074074,Before 9:00am,12
147,42350,Abuja,Hot Pepperoni Feast,5,0.336585648148148,Before 9:00am,16
148,42346,Ibadan,Pepperoni Suya,1,0.336597222222222,Before 9:00am,12
149,42353,Ikoyi,Chicken Suya,3,0.336608796296296,Before 9:00am,16
150,42343,Surulere,Hot Pepperoni Feast,2,0.33662037037037,Before 9:00am,16
151,42352,Abuja,Chicken Legend,5,0.336631944444444,Before 9:00am,8
152,42342,Surulere,Extravaganza,5,0.336689814814815,Before 9:00am,8
153,42352,Lekki,Beef Suya,2,0.336689814814815,Before 9:00am,12
154,42348,Ikoyi,Extravaganza,4,0.336724537037037,Before 9:00am,8
155,42349,Ikoyi,Pepperoni Suya,2,0.336747685185185,Before 9:00am,12
156,42347,Abuja,BBQ Philly Steak,3,0.336759259259259,Before 9:00am,16
157,42344,Lekki,Italiano,1,0.336759259259259,Before 9:00am,12
158,42353,Ibadan,Extravaganza,1,0.336805555555556,Before 9:00am,8
159,42344,Surulere,BBQ Philly Steak,2,0.336840277777778,Before 9:00am,16
160,42351,Lekki,Italiano,1,0.336875,Before 9:00am,12
161,42351,Surulere,Chicken Legend,2,0.336921296296296,Before 9:00am,8
162,42345,Ibadan,Italiano,4,0.33693287037037,Before 9:00am,12
163,42350,Abuja,Hot Veggie,4,0.33693287037037,Before 9:00am,16
164,42344,Abuja,Chicken Feast,3,0.33693287037037,Before 9:00am,8
165,42347,Ibadan,Meatzaa,2,0.336944444444444,Before 9:00am,8
166,42353,Ibadan,Margarita,5,0.336944444444444,Before 9:00am,16
167,42343,Ikoyi,Hot Pepperoni Feast,5,0.336967592592593,Before 9:00am,16
168,42350,Abuja,BBQ Chicken,3,0.337071759259259,Before 9:00am,16
169,42345,Ikoyi,Hot Pepperoni Feast,5,0.337071759259259,Before 9:00am,16
170,42341,Ibadan,Chicken Legend,4,0.337071759259259,Before 9:00am,8
171,42351,Surulere,Chicken Bali,3,0.337094907407407,Before 9:00am,8
172,42345,Surulere,Chicken Suya,5,0.337094907407407,Before 9:00am,16
173,42348,Surulere,Hot Pepperoni Feast,4,0.337094907407407,Before 9:00am,16
174,42352,Surulere,Hot Pepperoni Feast,2,0.33712962962963,Before 9:00am,16
175,42352,Lekki,Chicken Feast,1,0.337175925925926,Before 9:00am,8
176,42350,Ikoyi,BBQ Chicken,2,0.337199074074074,Before 9:00am,16
177,42344,Ibadan,Extravaganza,1,0.337199074074074,Before 9:00am,8
178,42343,Abuja,Meatzaa,2,0.337199074074074,Before 9:00am,8
179,42353,Ibadan,Pepperoni Feast,3,0.337233796296296,Before 9:00am,16
180,42347,Lekki,Hot Pepperoni Feast,1,0.33724537037037,Before 9:00am,16
181,42351,Abuja,BBQ Chicken,3,0.337256944444444,Before 9:00am,16
182,42350,Abuja,BBQ Chicken,4,0.337268518518519,Before 9:00am,16
183,42349,Ibadan,Chicken Feast,3,0.337280092592593,Before 9:00am,8
184,42342,Surulere,Beef Suya,1,0.337280092592593,Before 9:00am,12
185,42348,Surulere,Extravaganza,1,0.337303240740741,Before 9:00am,8
186,42344,Surulere,Pepperoni Feast,2,0.337314814814815,Before 9:00am,16
187,42352,Lekki,Beef Suya,4,0.337337962962963,Before 9:00am,12
188,42349,Surulere,Veggie Supreme,3,0.337349537037037,Before 9:00am,12
189,42348,Lekki,Meatzaa,5,0.337395833333333,Before 9:00am,8
190,42344,Lekki,Chicken Bali,3,0.337418981481481,Before 9:00am,8
191,42353,Lekki,Pepperoni Suya,1,0.337418981481481,Before 9:00am,12
192,42353,Ibadan,Pepperoni Suya,5,0.33744212962963,Before 9:00am,12
193,42341,Ibadan,Veggie Supreme,3,0.33744212962963,Before 9:00am,12
194,42350,Lekki,BBQ Philly Steak,3,0.337453703703704,Before 9:00am,16
195,42341,Lekki,Margarita,4,0.3375,Before 9:00am,16
196,42351,Ikoyi,BBQ Chicken,4,0.337511574074074,Before 9:00am,16
197,42348,Ikoyi,Beef Suya,1,0.337511574074074,Before 9:00am,12
198,42345,Abuja,BBQ Chicken,1,0.337534722222222,Before 9:00am,16
199,42350,Ibadan,Beef Suya,4,0.337581018518519,Before 9:00am,12
200,42346,Lekki,Pepperoni Feast,3,0.337592592592593,Before 9:00am,16
201,42345,Ikoyi,Hot Pepperoni Feast,2,0.337615740740741,Before 9:00am,16
202,42352,Surulere,Hot Pepperoni Feast,4,0.337615740740741,Before 9:00am,16
203,42343,Lekki,Pepperoni Feast,3,0.337638888888889,Before 9:00am,16
204,42352,Ikoyi,Chicken Bali,5,0.33775462962963,Before 9:00am,8
205,42347,Lekki,BBQ Chicken,5,0.33775462962963,Before 9:00am,16
206,42348,Ibadan,Chicken Legend,2,0.337824074074074,Before 9:00am,8
207,42345,Abuja,Hot Veggie,5,0.337847222222222,Before 9:00am,16
208,42348,Abuja,BBQ Philly Steak,4,0.33787037037037,Before 9:00am,16
209,42350,Abuja,Margarita,4,0.337881944444444,Before 9:00am,16
210,42341,Abuja,Meatzaa,1,0.337881944444444,Before 9:00am,8
211,42348,Lekki,Extravaganza,5,0.337928240740741,Before 9:00am,8
212,42344,Lekki,Meatzaa,4,0.337928240740741,Before 9:00am,8
213,42347,Lekki,BBQ Chicken,2,0.337962962962963,Before 9:00am,16
214,42341,Lekki,Veggie Supreme,3,0.338020833333333,Before 9:00am,12
215,42349,Ibadan,BBQ Chicken,5,0.338032407407407,Before 9:00am,16
216,42346,Ibadan,BBQ Philly Steak,2,0.338032407407407,Before 9:00am,16
217,42352,Ibadan,Margarita,1,0.338078703703704,Before 9:00am,16
218,42349,Abuja,Hot Veggie,5,0.338078703703704,Before 9:00am,16
219,42346,Lekki,Chicken Legend,5,0.338090277777778,Before 9:00am,8
220,42348,Ibadan,Hot Veggie,3,0.338113425925926,Before 9:00am,16
221,42353,Ibadan,Chicken Legend,5,0.338125,Before 9:00am,8
222,42351,Surulere,Veggie Supreme,4,0.338136574074074,Before 9:00am,12
223,42348,Ibadan,Pepperoni Suya,3,0.338159722222222,Before 9:00am,12
224,42351,Surulere,Meatzaa,4,0.338194444444444,Before 9:00am,8
225,42341,Lekki,Chicken Bali,2,0.338229166666667,Before 9:00am,8
226,42350,Abuja,Veggie Supreme,3,0.338229166666667,Before 9:00am,12
227,42345,Ikoyi,Hot Pepperoni Feast,5,0.338240740740741,Before 9:00am,16
228,42348,Ikoyi,BBQ Philly Steak,5,0.338240740740741,Before 9:00am,16
229,42341,Lekki,Margarita,2,0.338252314814815,Before 9:00am,16
230,42348,Ibadan,Chicken Legend,3,0.338252314814815,Before 9:00am,8
231,42344,Abuja,BBQ Chicken,3,0.338275462962963,Before 9:00am,16
232,42343,Ikoyi,Hot Veggie,1,0.338275462962963,Before 9:00am,16
233,42344,Lekki,Hot Veggie,3,0.33837962962963,Before 9:00am,16
234,42344,Ikoyi,Chicken Suya,1,0.33837962962963,Before 9:00am,16
235,42342,Surulere,Pepperoni Feast,3,0.3384375,Before 9:00am,16
236,42351,Ibadan,Hot Pepperoni Feast,3,0.3384375,Before 9:00am,16
237,42346,Lekki,Extravaganza,4,0.338449074074074,Before 9:00am,8
238,42347,Ibadan,Meatzaa,1,0.338460648148148,Before 9:00am,8
239,42344,Lekki,Veggie Supreme,4,0.338460648148148,Before 9:00am,12
240,42353,Abuja,Hot Pepperoni Feast,4,0.338483796296296,Before 9:00am,16
241,42350,Ibadan,Extravaganza,1,0.33849537037037,Before 9:00am,8
242,42346,Ibadan,BBQ Chicken,5,0.338518518518519,Before 9:00am,16
243,42343,Lekki,Extravaganza,3,0.338541666666667,Before 9:00am,8
244,42347,Lekki,Meatzaa,1,0.338680555555556,Before 9:00am,8
245,42341,Surulere,Hot Pepperoni Feast,3,0.338680555555556,Before 9:00am,16
246,42347,Ikoyi,Beef Suya,5,0.33869212962963,Before 9:00am,12
247,42348,Surulere,Margarita,3,0.338726851851852,Before 9:00am,16
248,42345,Lekki,Hot Pepperoni Feast,1,0.338761574074074,Before 9:00am,16
249,42346,Ibadan,Chicken Bali,4,0.338761574074074,Before 9:00am,8
250,42345,Ibadan,Meatzaa,2,0.338773148148148,Before 9:00am,8
251,42346,Ibadan,BBQ Philly Steak,2,0.338773148148148,Before 9:00am,16
252,42343,Ikoyi,Pepperoni Feast,2,0.338842592592593,Before 9:00am,16
253,42349,Lekki,Chicken Feast,5,0.338842592592593,Before 9:00am,8
254,42341,Abuja,Veggie Supreme,5,0.338877314814815,Before 9:00am,12
255,42342,Ibadan,Pepperoni Feast,4,0.338900462962963,Before 9:00am,16
256,42343,Ikoyi,Extravaganza,1,0.338923611111111,Before 9:00am,8
257,42345,Ikoyi,Chicken Bali,5,0.338935185185185,Before 9:00am,8
258,42351,Ikoyi,Meatzaa,3,0.338935185185185,Before 9:00am,8
259,42342,Abuja,Pepperoni Feast,4,0.339016203703704,Before 9:00am,16
260,42352,Abuja,Veggie Supreme,1,0.339027777777778,Before 9:00am,12
261,42347,Lekki,Hot Veggie,1,0.339085648148148,Before 9:00am,16
262,42344,Lekki,Italiano,4,0.339178240740741,Before 9:00am,12
263,42343,Ikoyi,Italiano,3,0.339178240740741,Before 9:00am,12
264,42353,Lekki,Chicken Legend,3,0.339201388888889,Before 9:00am,8
265,42353,Ikoyi,Meatzaa,4,0.339224537037037,Before 9:00am,8
266,42352,Ibadan,BBQ Chicken,1,0.339247685185185,Before 9:00am,16
267,42345,Ibadan,BBQ Philly Steak,1,0.339259259259259,Before 9:00am,16
268,42344,Surulere,Chicken Suya,2,0.339270833333333,Before 9:00am,16
269,42342,Surulere,Veggie Supreme,4,0.339282407407407,Before 9:00am,12
270,42346,Ikoyi,Chicken Bali,1,0.339293981481481,Before 9:00am,8
271,42347,Ibadan,Chicken Suya,4,0.339340277777778,Before 9:00am,16
272,42344,Surulere,Chicken Legend,5,0.339351851851852,Before 9:00am,8
273,42347,Ikoyi,Pepperoni Suya,2,0.339351851851852,Before 9:00am,12
274,42343,Abuja,Hot Veggie,2,0.339375,Before 9:00am,16
275,42351,Surulere,BBQ Chicken,5,0.339409722222222,Before 9:00am,16
276,42343,Abuja,BBQ Chicken,3,0.339409722222222,Before 9:00am,16
277,42351,Ibadan,Meatzaa,1,0.339409722222222,Before 9:00am,8
278,42350,Abuja,Chicken Feast,2,0.33943287037037,Before 9:00am,8
279,42352,Ibadan,Beef Suya,5,0.339467592592593,Before 9:00am,12
280,42342,Surulere,Hot Veggie,2,0.339502314814815,Before 9:00am,16
281,42351,Ikoyi,Extravaganza,5,0.339502314814815,Before 9:00am,8
282,42350,Abuja,Pepperoni Feast,4,0.339548611111111,Before 9:00am,16
283,42345,Abuja,Pepperoni Suya,2,0.339583333333333,Before 9:00am,12
284,42353,Lekki,Pepperoni Feast,1,0.339583333333333,Before 9:00am,16
285,42343,Surulere,Veggie Supreme,2,0.339594907407407,Before 9:00am,12
286,42341,Lekki,Chicken Suya,3,0.339606481481481,Before 9:00am,16
287,42343,Ibadan,Hot Pepperoni Feast,3,0.339606481481481,Before 9:00am,16
288,42349,Lekki,Chicken Suya,4,0.339618055555556,Before 9:00am,16
289,42344,Ibadan,Italiano,4,0.339641203703704,Before 9:00am,12
290,42344,Ikoyi,Hot Veggie,2,0.339641203703704,Before 9:00am,16
291,42350,Ibadan,Chicken Legend,5,0.339675925925926,Before 9:00am,8
292,42342,Ibadan,Extravaganza,3,0.339675925925926,Before 9:00am,8
293,42347,Abuja,Pepperoni Suya,1,0.339699074074074,Before 9:00am,12
294,42343,Lekki,Chicken Legend,5,0.339710648148148,Before 9:00am,8
295,42349,Ikoyi,Beef Suya,4,0.339710648148148,Before 9:00am,12
296,42344,Abuja,Meatzaa,3,0.339768518518519,Before 9:00am,8
297,42350,Ikoyi,Chicken Bali,1,0.339814814814815,Before 9:00am,8
298,42341,Surulere,Margarita,4,0.339849537037037,Before 9:00am,16
299,42348,Abuja,Pepperoni Suya,3,0.339907407407407,Before 9:00am,12
300,42349,Ikoyi,Meatzaa,3,0.339907407407407,Before 9:00am,8
301,42351,Ikoyi,Veggie Supreme,5,0.339918981481481,Before 9:00am,12
302,42350,Surulere,Hot Veggie,1,0.339965277777778,Before 9:00am,16
303,42345,Surulere,Margarita,4,0.339965277777778,Before 9:00am,16
304,42344,Abuja,Chicken Legend,3,0.340011574074074,Before 9:00am,8
305,42342,Lekki,Italiano,2,0.340034722222222,Before 9:00am,12
306,42346,Surulere,BBQ Philly Steak,5,0.340034722222222,Before 9:00am,16
307,42353,Surulere,Beef Suya,2,0.34005787037037,Before 9:00am,12
308,42353,Ikoyi,BBQ Philly Steak,2,0.340104166666667,Before 9:00am,16
309,42349,Surulere,Beef Suya,2,0.340115740740741,Before 9:00am,12
310,42344,Ibadan,BBQ Philly Steak,5,0.340127314814815,Before 9:00am,16
311,42347,Lekki,Italiano,5,0.340127314814815,Before 9:00am,12
312,42341,Lekki,Veggie Supreme,1,0.340127314814815,Before 9:00am,12
313,42348,Surulere,Hot Veggie,3,0.340150462962963,Before 9:00am,16
314,42343,Ibadan,Pepperoni Feast,2,0.340208333333333,Before 9:00am,16
315,42352,Lekki,Hot Veggie,4,0.340219907407407,Before 9:00am,16
316,42346,Lekki,BBQ Chicken,3,0.340219907407407,Before 9:00am,16
317,42343,Ikoyi,Hot Pepperoni Feast,5,0.340266203703704,Before 9:00am,16
318,42342,Ibadan,Margarita,5,0.340277777777778,Before 9:00am,16
319,42353,Surulere,Chicken Feast,5,0.34037037037037,Before 9:00am,8
320,42345,Surulere,BBQ Chicken,4,0.34037037037037,Before 9:00am,16
321,42342,Lekki,Pepperoni Suya,5,0.340393518518519,Before 9:00am,12
322,42342,Ikoyi,Chicken Feast,5,0.340405092592593,Before 9:00am,8
323,42343,Surulere,Hot Pepperoni Feast,1,0.340416666666667,Before 9:00am,16
324,42341,Ibadan,Pepperoni Feast,1,0.340439814814815,Before 9:00am,16
325,42343,Ibadan,Chicken Legend,1,0.340451388888889,Before 9:00am,8
326,42346,Ikoyi,Beef Suya,5,0.340486111111111,Before 9:00am,12
327,42343,Surulere,Chicken Bali,2,0.340486111111111,Before 9:00am,8
328,42345,Ikoyi,Chicken Bali,3,0.340486111111111,Before 9:00am,8
329,42346,Ikoyi,Pepperoni Suya,5,0.340532407407407,Before 9:00am,12
330,42343,Ikoyi,Chicken Legend,5,0.34056712962963,Before 9:00am,8
331,42342,Abuja,Hot Pepperoni Feast,5,0.340578703703704,Before 9:00am,16
332,42341,Ibadan,Chicken Feast,1,0.340659722222222,Before 9:00am,8
333,42348,Abuja,Margarita,4,0.34068287037037,Before 9:00am,16
334,42347,Lekki,Extravaganza,5,0.340706018518519,Before 9:00am,8
335,42344,Lekki,Veggie Supreme,1,0.340706018518519,Before 9:00am,12
336,42346,Ikoyi,Veggie Supreme,1,0.340717592592593,Before 9:00am,12
337,42350,Surulere,Pepperoni Feast,2,0.340763888888889,Before 9:00am,16
338,42348,Ibadan,Pepperoni Suya,5,0.340775462962963,Before 9:00am,12
339,42347,Ikoyi,Italiano,5,0.340798611111111,Before 9:00am,12
340,42350,Surulere,Italiano,1,0.340844907407407,Before 9:00am,12
341,42344,Surulere,Pepperoni Suya,1,0.340902777777778,Before 9:00am,12
342,42345,Surulere,Chicken Legend,5,0.340925925925926,Before 9:00am,8
343,42353,Lekki,Chicken Legend,1,0.340972222222222,Before 9:00am,8
344,42348,Surulere,Hot Veggie,5,0.34099537037037,Before 9:00am,16
345,42349,Abuja,Pepperoni Suya,4,0.341030092592593,Before 9:00am,12
346,42351,Ikoyi,Veggie Supreme,5,0.341041666666667,Before 9:00am,12
347,42341,Lekki,Italiano,1,0.341064814814815,Before 9:00am,12
348,42352,Ikoyi,Pepperoni Feast,5,0.341122685185185,Before 9:00am,16
349,42342,Surulere,Hot Pepperoni Feast,5,0.341122685185185,Before 9:00am,16
350,42348,Abuja,Veggie Supreme,4,0.341134259259259,Before 9:00am,12
351,42348,Lekki,Pepperoni Suya,3,0.341145833333333,Before 9:00am,12
352,42350,Ibadan,Margarita,3,0.341168981481482,Before 9:00am,16
353,42351,Lekki,Veggie Supreme,2,0.34119212962963,Before 9:00am,12
354,42342,Lekki,Hot Pepperoni Feast,5,0.34119212962963,Before 9:00am,16
355,42353,Abuja,Chicken Bali,4,0.34119212962963,Before 9:00am,8
